1: h = 25; [[8, 5, 0], [2, 7, 6], [1, 3, 4]]
2: h = 24; [[8, 0, 5], [2, 7, 6], [1, 3, 4]]
4: h = 24; [[8, 7, 5], [2, 0, 6], [1, 3, 4]]
6: h = 24; [[8, 7, 5], [0, 2, 6], [1, 3, 4]]
8: h = 22; [[0, 7, 5], [8, 2, 6], [1, 3, 4]]
10: h = 21; [[7, 0, 5], [8, 2, 6], [1, 3, 4]]
12: h = 18; [[7, 2, 5], [8, 0, 6], [1, 3, 4]]
14: h = 18; [[7, 2, 5], [8, 3, 6], [1, 0, 4]]
16: h = 18; [[7, 2, 5], [8, 6, 0], [1, 3, 4]]
18: h = 16; [[7, 2, 5], [8, 6, 4], [1, 3, 0]]
20: h = 15; [[7, 2, 5], [8, 6, 4], [1, 0, 3]]
22: h = 12; [[7, 2, 5], [8, 0, 4], [1, 6, 3]]
24: h = 15; [[7, 0, 5], [8, 2, 4], [1, 6, 3]]
26: h = 15; [[7, 2, 5], [0, 8, 4], [1, 6, 3]]
28: h = 14; [[0, 2, 5], [7, 8, 4], [1, 6, 3]]
30: h = 14; [[7, 2, 5], [1, 8, 4], [0, 6, 3]]
32: h = 15; [[7, 2, 5], [8, 4, 0], [1, 6, 3]]
34: h = 14; [[7, 2, 0], [8, 4, 5], [1, 6, 3]]
36: h = 14; [[7, 2, 5], [8, 4, 3], [1, 6, 0]]
38: h = 16; [[0, 7, 5], [8, 2, 4], [1, 6, 3]]
40: h = 16; [[2, 0, 5], [7, 8, 4], [1, 6, 3]]
42: h = 16; [[2, 8, 5], [7, 0, 4], [1, 6, 3]]
44: h = 16; [[7, 0, 2], [8, 4, 5], [1, 6, 3]]
46: h = 16; [[7, 2, 5], [1, 8, 4], [6, 0, 3]]
48: h = 16; [[7, 2, 5], [1, 0, 4], [6, 8, 3]]
50: h = 16; [[7, 2, 5], [8, 4, 3], [1, 0, 6]]
52: h = 16; [[7, 2, 5], [8, 0, 3], [1, 4, 6]]
54: h = 16; [[7, 2, 5], [8, 6, 4], [0, 1, 3]]
56: h = 16; [[7, 4, 2], [8, 0, 5], [1, 6, 3]]
58: h = 16; [[7, 5, 0], [8, 2, 4], [1, 6, 3]]
60: h = 17; [[0, 7, 2], [8, 4, 5], [1, 6, 3]]
62: h = 17; [[2, 5, 0], [7, 8, 4], [1, 6, 3]]
64: h = 17; [[7, 2, 0], [8, 6, 5], [1, 3, 4]]
66: h = 17; [[7, 2, 5], [1, 8, 4], [6, 3, 0]]
68: h = 17; [[7, 2, 5], [8, 4, 3], [0, 1, 6]]
70: h = 18; [[2, 8, 5], [0, 7, 4], [1, 6, 3]]
72: h = 17; [[2, 8, 5], [1, 7, 4], [0, 6, 3]]
74: h = 18; [[7, 2, 5], [0, 1, 4], [6, 8, 3]]
76: h = 17; [[0, 2, 5], [7, 1, 4], [6, 8, 3]]
78: h = 18; [[7, 2, 5], [0, 6, 4], [8, 1, 3]]
80: h = 17; [[0, 2, 5], [7, 6, 4], [8, 1, 3]]
82: h = 18; [[7, 2, 5], [6, 0, 4], [8, 1, 3]]
84: h = 18; [[7, 2, 5], [6, 1, 4], [8, 0, 3]]
86: h = 18; [[7, 2, 5], [8, 3, 0], [1, 4, 6]]
88: h = 17; [[7, 2, 0], [8, 3, 5], [1, 4, 6]]
90: h = 18; [[7, 4, 2], [8, 5, 0], [1, 6, 3]]
92: h = 17; [[7, 4, 2], [8, 5, 3], [1, 6, 0]]
94: h = 18; [[7, 5, 4], [8, 2, 0], [1, 6, 3]]
96: h = 17; [[7, 5, 4], [8, 2, 3], [1, 6, 0]]
98: h = 18; [[7, 5, 4], [8, 0, 2], [1, 6, 3]]
100: h = 18; [[7, 0, 4], [8, 5, 2], [1, 6, 3]]
102: h = 18; [[8, 7, 5], [0, 2, 4], [1, 6, 3]]
104: h = 17; [[8, 7, 5], [1, 2, 4], [0, 6, 3]]
106: h = 18; [[8, 7, 5], [2, 0, 4], [1, 6, 3]]
108: h = 18; [[8, 0, 5], [2, 7, 4], [1, 6, 3]]
110: h = 19; [[0, 7, 4], [8, 5, 2], [1, 6, 3]]
112: h = 19; [[0, 8, 5], [2, 7, 4], [1, 6, 3]]
116: h = 19; [[2, 0, 5], [7, 1, 4], [6, 8, 3]]
118: h = 17; [[2, 1, 5], [7, 0, 4], [6, 8, 3]]
120: h = 17; [[2, 1, 5], [7, 8, 4], [6, 0, 3]]
122: h = 15; [[2, 1, 5], [7, 8, 4], [0, 6, 3]]
124: h = 13; [[2, 1, 5], [0, 8, 4], [7, 6, 3]]
126: h = 10; [[2, 1, 5], [8, 0, 4], [7, 6, 3]]
128: h = 12; [[2, 0, 5], [8, 1, 4], [7, 6, 3]]
130: h = 10; [[0, 2, 5], [8, 1, 4], [7, 6, 3]]
132: h = 12; [[8, 2, 5], [0, 1, 4], [7, 6, 3]]
134: h = 10; [[8, 2, 5], [1, 0, 4], [7, 6, 3]]
136: h = 13; [[2, 1, 5], [8, 4, 0], [7, 6, 3]]
138: h = 12; [[2, 1, 0], [8, 4, 5], [7, 6, 3]]
140: h = 12; [[2, 1, 5], [8, 4, 3], [7, 6, 0]]
142: h = 13; [[2, 0, 1], [8, 4, 5], [7, 6, 3]]
144: h = 11; [[0, 2, 1], [8, 4, 5], [7, 6, 3]]
146: h = 13; [[2, 1, 5], [8, 6, 4], [7, 0, 3]]
148: h = 13; [[2, 4, 1], [8, 0, 5], [7, 6, 3]]
150: h = 13; [[2, 5, 0], [8, 1, 4], [7, 6, 3]]
152: h = 13; [[8, 0, 5], [1, 2, 4], [7, 6, 3]]
154: h = 13; [[8, 2, 1], [0, 4, 5], [7, 6, 3]]
156: h = 13; [[8, 2, 1], [4, 0, 5], [7, 6, 3]]
158: h = 13; [[8, 2, 5], [1, 4, 0], [7, 6, 3]]
160: h = 12; [[8, 2, 0], [1, 4, 5], [7, 6, 3]]
162: h = 12; [[8, 2, 5], [1, 4, 3], [7, 6, 0]]
164: h = 13; [[8, 2, 5], [1, 6, 4], [7, 0, 3]]
166: h = 14; [[0, 1, 5], [2, 8, 4], [7, 6, 3]]
168: h = 12; [[1, 0, 5], [2, 8, 4], [7, 6, 3]]
170: h = 12; [[1, 8, 5], [2, 0, 4], [7, 6, 3]]
172: h = 12; [[1, 8, 5], [0, 2, 4], [7, 6, 3]]
174: h = 13; [[1, 5, 0], [2, 8, 4], [7, 6, 3]]
176: h = 14; [[0, 8, 5], [1, 2, 4], [7, 6, 3]]
180: h = 14; [[1, 8, 5], [7, 2, 4], [0, 6, 3]]
182: h = 14; [[2, 1, 5], [8, 4, 3], [7, 0, 6]]
184: h = 14; [[2, 1, 5], [8, 0, 3], [7, 4, 6]]
186: h = 14; [[2, 1, 5], [8, 6, 4], [7, 3, 0]]
188: h = 14; [[8, 0, 2], [1, 4, 5], [7, 6, 3]]
190: h = 14; [[8, 2, 5], [1, 4, 3], [7, 0, 6]]
192: h = 14; [[8, 2, 5], [1, 0, 3], [7, 4, 6]]
194: h = 14; [[8, 2, 5], [1, 6, 4], [7, 3, 0]]
196: h = 14; [[8, 2, 5], [7, 1, 4], [0, 6, 3]]
198: h = 14; [[8, 4, 2], [1, 0, 5], [7, 6, 3]]
200: h = 14; [[8, 5, 0], [1, 2, 4], [7, 6, 3]]
202: h = 15; [[0, 8, 2], [1, 4, 5], [7, 6, 3]]
204: h = 13; [[1, 8, 2], [0, 4, 5], [7, 6, 3]]
206: h = 13; [[1, 8, 2], [4, 0, 5], [7, 6, 3]]
208: h = 13; [[1, 0, 2], [4, 8, 5], [7, 6, 3]]
210: h = 11; [[1, 2, 0], [4, 8, 5], [7, 6, 3]]
212: h = 12; [[1, 2, 5], [4, 8, 0], [7, 6, 3]]
214: h = 11; [[1, 2, 5], [4, 8, 3], [7, 6, 0]]
216: h = 12; [[1, 2, 5], [4, 0, 8], [7, 6, 3]]
218: h = 12; [[1, 2, 5], [0, 4, 8], [7, 6, 3]]
220: h = 13; [[1, 2, 5], [4, 8, 3], [7, 0, 6]]
222: h = 13; [[1, 2, 5], [4, 0, 3], [7, 8, 6]]
224: h = 13; [[1, 2, 5], [0, 4, 3], [7, 8, 6]]
226: h = 14; [[0, 2, 5], [1, 4, 8], [7, 6, 3]]
228: h = 14; [[1, 2, 5], [7, 4, 8], [0, 6, 3]]
230: h = 15; [[0, 1, 2], [4, 8, 5], [7, 6, 3]]
232: h = 15; [[0, 2, 5], [1, 4, 3], [7, 8, 6]]
234: h = 15; [[1, 0, 5], [4, 2, 8], [7, 6, 3]]
236: h = 15; [[1, 2, 5], [4, 3, 0], [7, 8, 6]]
238: h = 14; [[1, 2, 0], [4, 3, 5], [7, 8, 6]]
240: h = 15; [[1, 2, 5], [4, 6, 8], [7, 0, 3]]
242: h = 15; [[1, 2, 5], [4, 8, 3], [0, 7, 6]]
244: h = 15; [[1, 2, 5], [7, 4, 3], [0, 8, 6]]
246: h = 14; [[1, 2, 5], [7, 4, 3], [8, 0, 6]]
248: h = 12; [[1, 2, 5], [7, 4, 3], [8, 6, 0]]
250: h = 13; [[1, 2, 5], [7, 4, 0], [8, 6, 3]]
252: h = 10; [[1, 2, 5], [7, 0, 4], [8, 6, 3]]
254: h = 12; [[1, 2, 0], [7, 4, 5], [8, 6, 3]]
256: h = 12; [[1, 2, 5], [0, 7, 4], [8, 6, 3]]
258: h = 10; [[1, 2, 5], [8, 7, 4], [0, 6, 3]]
260: h = 12; [[1, 2, 5], [8, 7, 4], [6, 0, 3]]
262: h = 10; [[1, 2, 5], [8, 0, 4], [6, 7, 3]]
264: h = 13; [[1, 0, 5], [7, 2, 4], [8, 6, 3]]
266: h = 13; [[1, 0, 5], [8, 2, 4], [6, 7, 3]]
268: h = 13; [[1, 2, 5], [0, 8, 4], [6, 7, 3]]
270: h = 13; [[1, 2, 5], [7, 6, 4], [8, 0, 3]]
272: h = 13; [[1, 2, 5], [8, 4, 0], [6, 7, 3]]
274: h = 12; [[1, 2, 0], [8, 4, 5], [6, 7, 3]]
276: h = 12; [[1, 2, 5], [8, 4, 3], [6, 7, 0]]
278: h = 13; [[1, 2, 5], [8, 4, 3], [6, 0, 7]]
280: h = 11; [[1, 2, 5], [8, 4, 3], [0, 6, 7]]
282: h = 13; [[1, 2, 5], [0, 4, 3], [8, 6, 7]]
284: h = 13; [[1, 2, 5], [4, 0, 3], [8, 6, 7]]
286: h = 13; [[1, 2, 5], [8, 0, 3], [6, 4, 7]]
288: h = 13; [[1, 2, 5], [8, 7, 4], [6, 3, 0]]
290: h = 14; [[0, 2, 5], [1, 7, 4], [8, 6, 3]]
292: h = 14; [[1, 0, 2], [7, 4, 5], [8, 6, 3]]
294: h = 14; [[1, 0, 2], [8, 4, 5], [6, 7, 3]]
296: h = 14; [[1, 2, 5], [6, 8, 4], [0, 7, 3]]
298: h = 12; [[1, 2, 5], [6, 8, 4], [7, 0, 3]]
300: h = 12; [[1, 2, 5], [6, 0, 4], [7, 8, 3]]
302: h = 12; [[1, 2, 5], [0, 6, 4], [7, 8, 3]]
304: h = 13; [[1, 2, 5], [6, 8, 4], [7, 3, 0]]
306: h = 14; [[0, 2, 5], [1, 6, 4], [7, 8, 3]]
308: h = 14; [[1, 2, 5], [7, 0, 3], [8, 4, 6]]
310: h = 14; [[1, 2, 5], [7, 6, 4], [0, 8, 3]]
314: h = 14; [[1, 2, 5], [7, 6, 4], [8, 3, 0]]
